TimeStep,Opt_max_rho,Opt_reward,RL_max_rho,RL_reward,LLM_max_rho,LLM_reward
19,0.833286,16.546929,0.870774,16.375961,0.829254,16.542022
20,0.824447,16.474833,0.863296,16.296237,0.820411,16.469995
21,0.813874,16.532041,0.855713,16.345536,0.809842,16.527149
22,0.830634,16.616292,0.871181,16.421412,0.826598,16.611330
23,0.826114,16.696536,0.862862,16.499937,0.822072,16.691512
24,0.828769,16.789685,0.870315,16.591832,0.824722,16.784571
25,0.828785,16.738442,0.873140,16.541289,0.824733,16.733394
26,0.805933,16.823337,0.849823,16.619830,0.801884,16.818188
27,0.834290,16.922964,0.878388,16.716256,0.830235,16.917745
28,0.811128,17.026563,0.851407,16.817783,0.807067,17.021264
29,0.787506,17.116526,0.824300,16.895530,0.783439,17.111129
30,0.802871,17.213785,0.841334,16.985280,0.798797,17.208258
31,0.823619,17.327410,0.862561,17.093585,0.819540,17.321777
32,0.813681,17.431921,0.852035,17.185888,0.809595,17.426152
33,0.834248,17.573109,0.872576,17.333061,0.830156,17.567225
34,0.797154,17.686637,0.829152,17.438259,0.793056,17.680620
35,0.798490,17.809422,0.824383,17.580410,0.794385,17.803248
36,0.806201,17.813275,0.844825,17.589266,0.802091,17.807077
37,0.835939,17.793735,0.875370,17.564305,0.831828,17.787544
38,0.845724,17.793142,0.889877,17.566231,0.841613,17.786967
39,0.846945,17.723449,0.886568,17.475831,0.842835,17.717338
40,0.858737,17.594220,0.886755,17.344171,0.854629,17.587730
41,0.839774,17.652786,0.855210,17.405011,0.835212,17.646227
42,0.836944,17.761814,0.850452,17.535032,0.832380,17.755068
43,0.877693,17.620161,0.894278,17.365089,0.873121,17.612144
44,0.910794,17.743551,0.919068,17.523205,0.905162,17.731317
45,0.913278,17.633502,0.927208,17.389268,0.905919,17.609901
46,0.923377,17.730712,0.931479,17.515006,0.906179,17.706223
47,0.930987,17.730829,0.937802,17.512951,0.914651,17.699932
48,0.935115,17.596993,0.944067,17.352204,0.913381,17.549139
49,0.935714,17.740140,0.937218,17.531549,0.900798,17.698781
50,0.891256,17.747558,0.908623,17.549710,0.861441,17.705537
51,0.861730,17.734669,0.877672,17.521005,0.831413,17.692753
52,0.862007,17.742779,0.876061,17.545130,0.831690,17.700817
53,0.856144,17.735946,0.870407,17.522327,0.825823,17.694020
54,0.859899,17.754654,0.868601,17.560463,0.829585,17.712657
55,0.818648,17.765968,0.822727,17.564397,0.788309,17.723917
56,0.791544,17.769603,0.794135,17.576949,0.778757,17.727563
57,0.795536,17.780806,0.794993,17.601128,0.793819,17.738735
58,0.809466,17.647241,0.809043,17.427353,0.807575,17.592240
59,0.795931,17.517219,0.802439,17.288953,0.796576,17.463496
60,0.792285,17.392177,0.799008,17.152357,0.792732,17.339691
61,0.781877,17.290397,0.791086,17.042967,0.782069,17.238933
62,0.779920,17.394606,0.790084,17.154429,0.780044,17.342110
63,0.796272,17.530574,0.804681,17.293185,0.796497,17.476771
64,0.799619,17.662838,0.806532,17.444317,0.799773,17.607736
65,0.808182,17.604880,0.813278,17.396138,0.808737,17.550363
66,0.814180,17.472227,0.821018,17.253480,0.814706,17.419006
67,0.802126,17.593528,0.812787,17.386484,0.802667,17.539114
68,0.809932,17.467554,0.818596,17.253735,0.810214,17.414371
